cluster	http_status	jobs_total	body_first120
wd5	422	-	{"errorCode":"HTTP_422","errorCaseId":"0AF060MQHEOMWL","httpStatus":422,"locale":"en-US","message":"","messageParams":{}
wd1	404	-	{"errorCode":"S21","errorCaseId":"4000DFMQHEONDZ","httpStatus":404,"locale":"en-US","message":"not found: Job_Posting_Si
wd12	200	66	{"total":66,"jobPostings":[{"title":"CBO Regulatory Compliance Specialist","externalPath":"/job/HM-Continuing-Care---Kat
wd3	422	-	{"errorCode":"HTTP_422","errorCaseId":"E19C08MQHEOOEU","httpStatus":422,"locale":"en-US","message":"","messageParams":{}
wd108	200	106	{"total":106,"jobPostings":[{"title":"Associate Chief Clinical Information Officer - Ambulatory","externalPath":"/job/La
wd115	404	-	{"errorCode":"S21","errorCaseId":"FF5A6FMQHEOP7K","httpStatus":404,"locale":"en-US","message":"not found: Job_Posting_Si
